Book,Chapter,Verse,Text
Genesis,1,1,In die begin het God die hemel en die aarde geskep.
Genesis,1,2,"En die aarde was woes en leeg, en duisternis was op die oppervlak van die diepwater, en die Gees van God het oor die oppervlak van die waters gesweef."
Genesis,1,3,"En God het gesê: ""Laat daar lig wees."" En daar was lig."
Genesis,1,4,"En God het die lig gesien dat dit goed was, en God het skeiding gemaak tussen die lig en die duisternis."
Genesis,1,5,"En God het die lig ""dag"" genoem, en die duisternis het Hy ""nag"" genoem. En dit was aand, en dit was môre — die eerste dag."
Genesis,1,6,"En God het gesê: ""Laat daar 'n uitspansel wees in die midde van die waters, en laat dit skeiding maak tussen waters en waters."""
Genesis,1,7,"En God het die uitspansel gemaak en die waters wat onder die uitspansel was, geskei van die waters wat bo die uitspansel was. En dit was so."
Genesis,1,8,"En God het die uitspansel ""hemel"" genoem. En dit was aand, en dit was môre — die tweede dag."
Genesis,1,9,"En God het gesê: ""Laat die waters onder die hemel op een plek bymekaarkom, en laat die droë grond verskyn."" En dit was so."
Genesis,1,10,"En God het die droë grond ""aarde"" genoem, en die versameling van die waters het Hy ""seë"" genoem. En God het gesien dat dit goed was."
Genesis,1,11,"En God het gesê: ""Laat die aarde groen plantegroei voortbring — sade-draende gewasse, en vrugtebome wat vrugte dra volgens hulle soort, met hulle saad daarin, op die aarde."" En dit was so."
Genesis,1,12,"En die aarde het groen plantegroei voortgebring, sade-draende gewasse volgens hulle soort, en bome wat vrugte dra met hulle saad daarin volgens hulle soort. En God het gesien dat dit goed was."
Genesis,1,13,"En dit was aand, en dit was môre — die derde dag."
Genesis,1,14,"En God het gesê: ""Laat daar ligte wees in die uitspansel van die hemel om skeiding te maak tussen die dag en die nag; en laat hulle dien as tekens en vir vaste tye, en vir dae en jare."
Genesis,1,15,"En laat hulle dien as ligte in die uitspansel van die hemel om lig te gee op die aarde."" En dit was so."
Genesis,1,16,"En God het die twee groot ligte gemaak — die groter lig om oor die dag te heers, en die kleiner lig om oor die nag te heers — en ook die sterre."
Genesis,1,17,"En God het hulle in die uitspansel van die hemel geplaas om lig te gee op die aarde,"
Genesis,1,18,"en om te heers oor die dag en oor die nag, en om skeiding te maak tussen die lig en die duisternis. En God het gesien dat dit goed was."
Genesis,1,19,"En dit was aand, en dit was môre — die vierde dag."
Genesis,1,20,"En God het gesê: ""Laat die waters wemel met 'n gewemel van lewende wesens, en laat voëls oor die aarde vlieg, voor die uitspansel van die hemel."""
Genesis,1,21,"En God het die groot seediere geskep, en al die lewende wesens wat beweeg, waarvan die waters gewemel het, volgens hulle soort, en elke gevleuelde voël volgens sy soort. En God het gesien dat dit goed was."
Genesis,1,22,"En God het hulle geseën en gesê: ""Wees vrugbaar en vermeerder, en vul die waters in die seë; en laat die voëls vermeerder op die aarde."""
Genesis,1,23,"En dit was aand, en dit was môre — die vyfde dag."
Genesis,1,24,"En God het gesê: ""Laat die aarde lewende wesens voortbring volgens hulle soort — vee en kruipende dinge en wilde diere van die aarde volgens hulle soort."" En dit was so."
Genesis,1,25,"En God het die wilde diere van die aarde gemaak volgens hulle soort, en die vee volgens hulle soort, en alles wat op die grond kruip volgens sy soort. En God het gesien dat dit goed was."
Genesis,1,26,"En God het gesê: ""Laat Ons mense maak na ons beeld, na ons gelykenis; en laat hulle heers oor die visse van die see en oor die voëls van die hemel en oor die vee en oor die hele aarde en oor al die kruipende dinge wat op die aarde kruip."""
Genesis,1,27,En God het die mens na sy beeld geskep; na die beeld van God het Hy hom geskep; manlik en vroulik het Hy hulle geskep.
Genesis,1,28,"En God het hulle geseën, en God het vir hulle gesê: ""Wees vrugbaar en vermeerder, en vul die aarde, en onderwerp dit; en heers oor die visse van die see en oor die voëls van die hemel en oor elke lewende ding wat op die aarde beweeg."""
Genesis,1,29,"En God het gesê: ""Kyk, Ek gee aan julle elke sade-draende gewas wat op die oppervlak van die hele aarde is, en elke boom waaraan boomvrugte met saad in is — vir julle sal dit voedsel wees."
Genesis,1,30,"En aan elke wilde dier van die aarde en aan elke voël van die hemel en aan alles wat op die aarde kruip, waarin 'n lewende asem is, gee Ek elke groen plant as voedsel."" En dit was so."
